bin,exam_exercise,line
69e76dd036566621a8d78678,EX1,Nouvelle game de croquette pour animaux stérilisé avec un taux plus élevé de protéines et une densité énergétique plus faible dans le but d'atteindre la sasiétée et de faire perdre du poids
69e76df6aaba8821972106e8,EX1,2/4 des nouvelles et 2/4 des anciennes pendant 2 jours
69e76df6aaba8821972106e8,EX1,3/4 des nouvelles et 1/4 des anciennes pendant 2 jours
69e76e3f856a68218958d884,EX2,Utiliser des gamelles ludiques si besoin
69e76ef836566621a8d78c46,EX1,Conseils :
69e76ef836566621a8d78c46,EX2,Conseils :
69e76ef836566621a8d78c46,EX2,ne rajouter le Vit’i5 qu’après avoir chauffer les aliments
69e76efa36566621a8d78c55,EX1,suivit du poids toutes les 1/2 semaines
69e76efa36566621a8d78c55,EX2,transtion alimentaire possible
69e76efc36566621a8d78c85,EX2,Suivre du poids très régulièrement et visite de contrôle dbs 1 mois
69e76f00856a68218958dc27,EX1,Faire visite de contrôle du poids chez le vétérinaire dans le mois après le début du changement d'alimentation
69e76f2b36566621a8d78dde,EX1,"Ration actuelle trop pauvre en protéines, expliquant la faim constante d'Isopp, et trop grosse couverture énergétique"
69e76f40aaba882197210d42,EX1,"La ration actuelle présente un déficit protéique, pouvant être lié au fait qu'Isopp ait constamment faim"
69e76f4daaba882197210d90,EX1,Donner 250 grammes par jours séparés en 2 ou 3 repas
69e76f58aaba882197210db5,EX2,Faire un suivit du poids et ajuster les quantités si besoin
69e76f5d36566621a8d78ec5,EX1,"Avec la ration actuelle, on observe une couverture trop grande du besoin énergétique et en même temps une ration un peu faible en protéines"
69e76f5d36566621a8d78ec5,EX1,"On va chercher un aliment avec une densité énergétique plus faible pour calmer sa faim, et possiblement un peu plus riche en protéines"
69e76f5d36566621a8d78ec5,EX1,"On pourrait partir sur une ration journalière de 325 g/j de Royal Canin Satiety, qui aurait une densité énergétique plus faible donc plus adaptée à sa faim tout en apportant une meilleur couverture pour les protéines (d'autres aliments sont toutefois envisageables mais moins idéal pour ces protéines justement, et on reste ici sur la même marque de croquettes)"
69e76f68aaba882197210dec,EX2,Conseils pour la préparation :
69e76f84856a68218958de62,Ex1,Ration actuelle trop riche énergétiquement
69e76f84856a68218958de62,Ex1,On cherche un aliment moins dense en énergie et plus protéiné
69e76fbf856a68218958df74,EX1,possibilité d'ajouter des courgettes dans la ration pour la saciété
69e76fc8aaba882197210f7c,EX1,2 jours avec une moitié de chaque
69e77027856a68218958e148,EX2,étapes de préparation et conseils :
